orig_hname,new_hname,hclass,horder,hfamily,genus,spp,subspp 
Raja polystigma,Raja polystigma,Chondrichthyes,Rajiformes,Rajidae,Raja,polystigma,NA
Raja rhina,Raja rhina,Chondrichthyes,Rajiformes,Rajidae,Raja,rhina,NA
Raja stellulata,Raja stellulata,Chondrichthyes,Rajiformes,Rajidae,Raja,stellulata,NA
Raja undulata,Raja undulata,Chondrichthyes,Rajiformes,Rajidae,Raja,undulata,NA
Rajella bathyphila,Rajella bathyphila,Chondrichthyes,Rajiformes,Rajidae,Rajella,bathyphila,NA
Rajella leopardus,Rajella leopardus,Chondrichthyes,Rajiformes,Rajidae,Rajella,leopardus,NA
Ramnogaster melanostoma,Ramnogaster melanostoma,Actinopterygii,Clupeiformes,Clupeidae,Ramnogaster,melanostoma,NA
Raniceps raninus,Raniceps raninus,Actinopterygii,Gadiformes,Gadidae,Raniceps,raninus,NA
Ranzania laevis,Ranzania laevis,Actinopterygii,Tetraodontiformes,Molidae,Ranzania,laevis,NA
Raphiodon vulpinus,Rhaphiodon vulpinus,Actinopterygii,Characiformes,Cynodontidae,Rhaphiodon,vulpinus,NA
Rasbora rutteni,Rasbora rutteni,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,rutteni,NA
Rasbora volzii,Rasbora volzii,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,volzii,NA
Rastrelliger faughni,Rastrelliger faughni,Actinopterygii,Perciformes,Scombridae,Rastrelliger,faughni,NA
Rastrelliger kanagurta,Rastrelliger kanagurta,Actinopterygii,Perciformes,Scombridae,Rastrelliger,kanagurta,NA
Rastrineobola argentea,Rastrineobola argentea,Actinopterygii,Cypriniformes,Cyprinidae,Rastrineobola,argentea,NA
Rectoris luxiensis,Rectoris luxiensis,Actinopterygii,Cypriniformes,Cyprinidae,Rectoris,luxiensis,NA
Rectoris posehensis,Rectoris posehensis,Actinopterygii,Cypriniformes,Cyprinidae,Rectoris,posehensis,NA
Redigobius dewaali,Redigobius dewaali,Actinopterygii,Perciformes,Gobiidae,Redigobius,dewaali,NA
Redigobius tambujon,Redigobius tambujon,Actinopterygii,Perciformes,Gobiidae,Redigobius,tambujon,NA
Regalecus glesne,Regalecus glesne,Actinopterygii,Lampriformes,Regalecidae,Regalecus,glesne,NA
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,hippoglossoides,NA
Remora brachyptera,Remora brachyptera,Actinopterygii,Perciformes,Echeneidae,Remora,brachyptera,NA
Remora remora,Remora remora,Actinopterygii,Perciformes,Echeneidae,Remora,remora,NA
Repomucenus lunatus,Repomucenus lunatus,Actinopterygii,Perciformes,Callionymidae,Repomucenus,lunatus,NA
Retroculus septentrionalis,Retroculus septentrionalis,Actinopterygii,Perciformes,Cichlidae,Retroculus,septentrionalis,NA
Retroculus xinguensis,Retroculus xinguensis,Actinopterygii,Perciformes,Cichlidae,Retroculus,xinguensis,NA
Retropinna retropinna,Retropinna retropinna,Actinopterygii,Osmeriformes,Retropinnidae,Retropinna,retropinna,NA
Retropinna semoni,Retropinna semoni,Actinopterygii,Osmeriformes,Retropinnidae,Retropinna,semoni,NA
Rhabdolichops navalha,Rhabdolichops navalha,Actinopterygii,Gymnotiformes,Sternopygidae,Rhabdolichops,navalha,NA
Rhabdolichops nigrimans,Rhabdolichops nigrimans,Actinopterygii,Gymnotiformes,Sternopygidae,Rhabdolichops,nigrimans,NA
Rhabdosargus holubi,Rhabdosargus holubi,Actinopterygii,Perciformes,Sparidae,Rhabdosargus,holubi,NA
Rhabdosargus sarba,Rhabdosargus sarba,Actinopterygii,Perciformes,Sparidae,Rhabdosargus,sarba,NA
Rhacochilus vacca,Rhacochilus vacca,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,vacca,NA
Rhamdia foina,Rhamdia foina,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,foina,NA
Rhamdia itacaiunas,Rhamdia itacaiunas,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,itacaiunas,NA
Rhamdia laticauda,Rhamdia laticauda,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,laticauda,NA
Rhamdia nicaraguensis,Rhamdia nicaraguensis,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,nicaraguensis,NA
Rhamdia quelen,Rhamdia quelen,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,quelen,NA
Rhamphichthys rostratus,Rhamphichthys rostratus,Actinopterygii,Gymnotiformes,Rhamphichthyidae,Rhamphichthys,rostratus,NA
Rhamphocottus richardsonii,Rhamphocottus richardsonii,Actinopterygii,Scorpaeniformes,Rhamphocottidae,Rhamphocottus,richardsonii,NA
Rhaphiodon vulpinus,Rhaphiodon vulpinus,Actinopterygii,Characiformes,Cynodontidae,Rhaphiodon,vulpinus,NA
Rheocles alaotrensis,Rheocles alaotrensis,Actinopterygii,Atheriniformes,Bedotiidae,Rheocles,alaotrensis,NA
Rhina ancylostoma,Rhina ancylostoma,Chondrichthyes,Rajiformes,Rhinobatidae,Rhina,ancylostoma,NA
Rhincodon typus,Rhincodon typus,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,typus,NA
Rhinecanthus abyssus,Rhinecanthus abyssus,Actinopterygii,Tetraodontiformes,Balistidae,Rhinecanthus,abyssus,NA
Rhinecanthus aculeatus,Rhinecanthus aculeatus,Actinopterygii,Tetraodontiformes,Balistidae,Rhinecanthus,aculeatus,NA
Rhinecanthus rectangulus,Rhinecanthus rectangulus,Actinopterygii,Tetraodontiformes,Balistidae,Rhinecanthus,rectangulus,NA
Rhinelepis aspera,Rhinelepis aspera,Actinopterygii,Siluriformes,Loricariidae,Rhinelepis,aspera,NA
Rhinesomus triqueter,Rhinesomus triqueter,Actinopterygii,Tetraodontiformes,Ostraciidae,Rhinesomus,triqueter,NA
Rhinichthys atratulus,Rhinichthys atratulus,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,atratulus,NA
Rhinichthys cataractae,Rhinichthys cataractae,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,cataractae,NA
Rhinichthys falcatus,Rhinichthys falcatus,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,falcatus,NA
Rhinichthys osculus,Rhinichthys osculus,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,osculus,NA
Rhinobatos cemiculus,Rhinobatos cemiculus,Chondrichthyes,Rajiformes,Rhinobatidae,Rhinobatos,cemiculus,NA
Rhinobatos glaucostigma,Rhinobatos glaucostigma,Chondrichthyes,Rajiformes,Rhinobatidae,Rhinobatos,glaucostigma,NA
Rhinobatos hynnicephalus,Rhinobatos hynnicephalus,Chondrichthyes,Rajiformes,Rhinobatidae,Rhinobatos,hynnicephalus,NA
Rhinobatos leucorhynchus,Rhinobatos leucorhynchus,Chondrichthyes,Rajiformes,Rhinobatidae,Rhinobatos,leucorhynchus,NA
Rhinobatos nudidorsalis,Rhinobatos nudidorsalis,Chondrichthyes,Rajiformes,Rhinobatidae,Rhinobatos,nudidorsalis,NA
Rhinobatos planiceps,Rhinobatos planiceps,Chondrichthyes,Rajiformes,Rhinobatidae,Rhinobatos,planiceps,NA
Rhinobatos productus,Rhinobatos productus,Chondrichthyes,Rajiformes,Rhinobatidae,Rhinobatos,productus,NA
Rhinobatos rhinobatos,Rhinobatos rhinobatos,Chondrichthyes,Rajiformes,Rhinobatidae,Rhinobatos,rhinobatos,NA
Rhinochimaera atlantica,Rhinochimaera atlantica,Chondrichthyes,Chimaeriformes,Rhinochimaeridae,Rhinochimaera,atlantica,NA
Rhinochimaera pacifica,Rhinochimaera pacifica,Chondrichthyes,Chimaeriformes,Rhinochimaeridae,Rhinochimaera,pacifica,NA
Rhinodoras dorbignyi,Rhinodoras dorbignyi,Actinopterygii,Siluriformes,Doradidae,Rhinodoras,dorbignyi,NA
Rhinogobiops nicholsii,Rhinogobiops nicholsii,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops,nicholsii,NA
Rhinogobius brunneus,Rhinogobius brunneus,Actinopterygii,Perciformes,Gobiidae,Rhinogobius,brunneus,NA
Rhinogobius leavelli,Rhinogobius leavelli,Actinopterygii,Perciformes,Gobiidae,Rhinogobius,leavelli,NA
Rhinomugil corsula,Rhinomugil corsula,Actinopterygii,Mugiliformes,Mugilidae,Rhinomugil,corsula,NA
Rhinopias aphanes,Rhinopias aphanes,Actinopterygii,Scorpaeniformes,Scorpaenidae,Rhinopias,aphanes,NA
Rhinopias filamentosus,Hipposcorpaena filamentosus,Actinopterygii,Perciformes, Cichlidae,Hipposcorpaena,filamentosus,NA
Rhinopias godfreyi,Pteroidichthys godfreyi,Actinopterygii,Perciformes, Cichlidae,Pteroidichthys,godfreyi,NA
Rhinoprenes pentanemus,Rhinoprenes pentanemus,Actinopterygii,Perciformes,Ephippidae,Rhinoprenes,pentanemus,NA
Rhinoptera bonasus,Rhinoptera bonasus,Chondrichthyes,Rajiformes,Myliobatidae,Rhinoptera,bonasus,NA
Rhinoptera marginata,Rhinoptera marginata,Chondrichthyes,Rajiformes,Myliobatidae,Rhinoptera,marginata,NA
Rhinoptera neglecta,Rhinoptera neglecta,Chondrichthyes,Rajiformes,Myliobatidae,Rhinoptera,neglecta,NA
Rhinoptera steindachneri,Rhinoptera steindachneri,Chondrichthyes,Rajiformes,Myliobatidae,Rhinoptera,steindachneri,NA
Rhizoprionodon acutus,Rhizoprionodon acutus,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,acutus,NA
Rhizoprionodon longurio,Rhizoprionodon longurio,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,longurio,NA
Rhizoprionodon terraenovae,Rhizoprionodon terraenovae,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,terraenovae,NA
Rhodeus amarus,Rhodeus amarus,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,amarus,NA
Rhodeus atremius,Rhodeus atremius,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,atremius,NA
Rhodeus ocellatus,Rhodeus ocellatus,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,ocellatus,NA
Rhodeus sinensis,Rhodeus sinensis,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,sinensis,NA
Rhodeus uyekii,Rhodeus uyekii,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,uyekii,NA
Rhodichthys regina,Rhodichthys regina,Actinopterygii,Scorpaeniformes,Liparidae,Rhodichthys,regina,NA
Rhodymenichthys dolichogaster,Rhodymenichthys dolichogaster,Actinopterygii,Perciformes,Pholidae,Rhodymenichthys,dolichogaster,NA
Rhomboplites aurorubens,Rhomboplites aurorubens,Actinopterygii,Perciformes,Lutjanidae,Rhomboplites,aurorubens,NA
Rhombosolea leporina,Rhombosolea leporina,Actinopterygii,Pleuronectiformes,Pleuronectidae,Rhombosolea,leporina,NA
Rhombosolea plebeia,Rhombosolea plebeia,Actinopterygii,Pleuronectiformes,Pleuronectidae,Rhombosolea,plebeia,NA
Rhombosolea retiaria,Rhombosolea retiaria,Actinopterygii,Pleuronectiformes,Pleuronectidae,Rhombosolea,retiaria,NA
Rhombosolea tapirina,Rhombosolea tapirina,Actinopterygii,Pleuronectiformes,Pleuronectidae,Rhombosolea,tapirina,NA
Rhyacichthys aspro,Rhyacichthys aspro,Actinopterygii,Perciformes,Rhyacichthyidae,Rhyacichthys,aspro,NA
Rhynchocypris czekanowskii,Rhynchocypris czekanowskii,Actinopterygii,Cypriniformes,Cyprinidae,Rhynchocypris,czekanowskii,NA
Rhynchocypris lagowskii,Rhynchocypris lagowskii,Actinopterygii,Cypriniformes,Cyprinidae,Rhynchocypris,lagowskii,NA
Rhynchocypris oxycephalus,Rhynchocypris oxycephalus,Actinopterygii,Cypriniformes,Cyprinidae,Rhynchocypris,oxycephalus,NA
Rhynchocypris percnurus,Rhynchocypris percnurus,Actinopterygii,Cypriniformes,Cyprinidae,Rhynchocypris,percnurus,NA
Rhynchodoras castilloi,Rhynchodoras castilloi,Actinopterygii,Siluriformes,Doradidae,Rhynchodoras,castilloi,NA
Rhynchogadus hepaticus,Rhynchogadus hepaticus,Actinopterygii,Gadiformes,Moridae,Rhynchogadus,hepaticus,NA
Rhynchopelates oxyrhynchus,Rhynchopelates oxyrhynchus,Actinopterygii,Perciformes,Terapontidae,Rhynchopelates,oxyrhynchus,NA
Rhynchorhamphus arabicus,Rhynchorhamphus arabicus,Actinopterygii,Beloniformes,Hemiramphidae,Rhynchorhamphus,arabicus,NA
Rhytiodus argenteofuscus,Rhytiodus argenteofuscus,Actinopterygii,Characiformes,Anostomidae,Rhytiodus,argenteofuscus,NA
Richardsonius balteatus,Richardsonius balteatus,Actinopterygii,Cypriniformes,Cyprinidae,Richardsonius,balteatus,NA
Richardsonius egregius,Richardsonius egregius,Actinopterygii,Cypriniformes,Cyprinidae,Richardsonius,egregius,NA
Rineloricaria uracantha,Rineloricaria uracantha,Actinopterygii,Siluriformes,Loricariidae,Rineloricaria,uracantha,NA
Rita kuturnee,Rita kuturnee,Actinopterygii,Siluriformes,Bagridae,Rita,kuturnee,NA
Rita rita,Rita rita,Actinopterygii,Siluriformes,Bagridae,Rita,rita,NA
Rivulus hartii,Anablepsoides hartii,Actinopterygii,Perciformes, Cichlidae,Anablepsoides,hartii,NA
Rivulus xiphidius,Laimosemion xiphidius,Actinopterygii,Perciformes, Cichlidae,Laimosemion,xiphidius,NA
Rivulus zygonectes,Melanorivulus zygonectes,Actinopterygii,Perciformes, Cichlidae,Melanorivulus,zygonectes,NA
Rocio octofasciata,Rocio octofasciata,Actinopterygii,Perciformes,Cichlidae,Rocio,octofasciata,NA
Roeboexodon guyanensis,Roeboexodon guyanensis,Actinopterygii,Characiformes,Characidae,Roeboexodon,guyanensis,NA
Roeboides microlepis,Roeboides microlepis,Actinopterygii,Characiformes,Characidae,Roeboides,microlepis,NA
Roeboides myersii,Roeboides myersii,Actinopterygii,Characiformes,Characidae,Roeboides,myersii,NA
Roeboides xenodon,Roeboides xenodon,Actinopterygii,Characiformes,Characidae,Roeboides,xenodon,NA
Romanogobio albipinnatus,Romanogobio albipinnatus,Actinopterygii,Cypriniformes,Cyprinidae,Romanogobio,albipinnatus,NA
Romanogobio kesslerii,Romanogobio kesslerii,Actinopterygii,Cypriniformes,Cyprinidae,Romanogobio,kesslerii,NA
Romanogobio tenuicorpus,Romanogobio tenuicorpus,Actinopterygii,Cypriniformes,Cyprinidae,Romanogobio,tenuicorpus,NA
Romanogobio uranoscopus,Romanogobio uranoscopus,Actinopterygii,Cypriniformes,Cyprinidae,Romanogobio,uranoscopus,NA
Roncador stearnsii,Roncador stearnsii,Actinopterygii,Perciformes,Sciaenidae,Roncador,stearnsii,NA
Rostroraja alba,Rostroraja alba,Chondrichthyes,Rajiformes,Rajidae,Rostroraja,alba,NA
Ruanoho whero,Ruanoho whero,Actinopterygii,Perciformes,Tripterygiidae,Ruanoho,whero,NA
Rutilus aula,Rutilus aula,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,aula,NA
Rutilus frisii,Rutilus frisii,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,frisii,NA
Rutilus pigus,Rutilus pigus,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,pigus,NA
Rutilus rubilio,Sarmarutilus rubilio,Actinopterygii,Perciformes, Cichlidae,Sarmarutilus,rubilio,NA
Rutilus rutilus,Rutilus rutilus,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,rutilus,NA
Rutilus virgo,Rutilus virgo,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,virgo,NA
Ruvettus pretiosus,Ruvettus pretiosus,Actinopterygii,Perciformes,Gempylidae,Ruvettus,pretiosus,NA
Rypticus saponaceus,Rypticus saponaceus,Actinopterygii,Perciformes,Serranidae,Rypticus,saponaceus,NA
Sabanejewia caucasica,Sabanejewia caucasica,Actinopterygii,Cypriniformes,Cobitidae,Sabanejewia,caucasica,NA
Saccodon dariensis,Saccodon dariensis,Actinopterygii,Characiformes,Parodontidae,Saccodon,dariensis,NA
Salangichthys microdon,Salangichthys microdon,Actinopterygii,Osmeriformes,Salangidae,Salangichthys,microdon,NA
Salaria pavo,Salaria pavo,Actinopterygii,Perciformes,Blenniidae,Salaria,pavo,NA
Salarias fasciatus,Salarias fasciatus,Actinopterygii,Perciformes,Blenniidae,Salarias,fasciatus,NA
Salarias patzneri,Salarias patzneri,Actinopterygii,Perciformes,Blenniidae,Salarias,patzneri,NA
Salilota australis,Salilota australis,Actinopterygii,Gadiformes,Moridae,Salilota,australis,NA
Salminus affinis,Salminus affinis,Actinopterygii,Bryconidae,Salminus,Salminus,affinis,NA
Salminus brasiliensis,Salminus brasiliensis,Actinopterygii,Bryconidae,Salminus,Salminus,brasiliensis,NA
Salminus franciscanus,Salminus franciscanus,Actinopterygii,Bryconidae,Salminus,Salminus,franciscanus,NA
Salminus hilarii,Salminus hilarii,Actinopterygii,Bryconidae,Salminus,Salminus,hilarii,NA
Salminus maxillosus,Salminus maxillosus,Actinopterygii,Bryconidae,Salminus,Salminus,maxillosus,NA
Salmo carpio,Salmo carpio,Actinopterygii,Salmoniformes,Salmonidae,Salmo,carpio,NA
Salmo ischchan,Salmo ischchan,Actinopterygii,Salmoniformes,Salmonidae,Salmo,ischchan,NA
Salmo labrax,Salmo labrax,Actinopterygii,Salmoniformes,Salmonidae,Salmo,labrax,NA
Salmo letnica,Salmo letnica,Actinopterygii,Salmoniformes,Salmonidae,Salmo,letnica,NA
Salmo marmoratus,Salmo marmoratus,Actinopterygii,Salmoniformes,Salmonidae,Salmo,marmoratus,NA
Salmo montenigrinus,Salmo montenigrinus,Actinopterygii,Salmoniformes,Salmonidae,Salmo,montenigrinus,NA
Salmo obtusirostris,Salmo obtusirostris,Actinopterygii,Salmoniformes,Salmonidae,Salmo,obtusirostris,NA
Salmo ohridanus,Salmo ohridanus,Actinopterygii,Salmoniformes,Salmonidae,Salmo,ohridanus,NA
Salmo pelagonicus,Salmo pelagonicus,Actinopterygii,Salmoniformes,Salmonidae,Salmo,pelagonicus,NA
Salmo salar,Salmo salar,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,NA
Salmo trutta,Salmo trutta,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,NA
Salmophasia bacaila,Salmophasia bacaila,Actinopterygii,Cypriniformes,Cyprinidae,Salmophasia,bacaila,NA
Salmophasia balookee,Salmophasia balookee,Actinopterygii,Cypriniformes,Cyprinidae,Salmophasia,balookee,NA
Salmophasia novacula,Salmophasia novacula,Actinopterygii,Cypriniformes,Cyprinidae,Salmophasia,novacula,NA
Salvelinus alpinus,Salvelinus alpinus,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,alpinus,NA
Salvelinus boganidae,Salvelinus boganidae,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,boganidae,NA
Salvelinus fontinalis,Salvelinus fontinalis,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,NA
Salvelinus frontinalis,Salvelinus fontinalis,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,NA
Salvelinus lepechini,Salvelinus lepechini,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,lepechini,NA
Salvelinus leucomaenis,Salvelinus leucomaenis,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,leucomaenis,NA
Salvelinus malma,Salvelinus malma,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,malma,NA
Salvelinus namaycush,Salvelinus namaycush,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,namaycush,NA
Salvelinus neiva,Salvelinus neiva,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,neiva,NA
Salvelinus pluvius,Salvelinus leucomaenis pluvius,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,leucomaenis,pluvius
Salvelinus umbla,Salvelinus umbla,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,umbla,NA
Samaris cristatus,Samaris cristatus,Actinopterygii,Pleuronectiformes,Samaridae,Samaris,cristatus,NA
Samariscus macrognathus,Samariscus macrognathus,Actinopterygii,Pleuronectiformes,Samaridae,Samariscus,macrognathus,NA
Samariscus maculatus,Samariscus maculatus,Actinopterygii,Pleuronectiformes,Samaridae,Samariscus,maculatus,NA
Samariscus nielseni,Samariscus nielseni,Actinopterygii,Pleuronectiformes,Samaridae,Samariscus,nielseni,NA
Sandelia capensis,Sandelia capensis,Actinopterygii,Perciformes,Anabantidae,Sandelia,capensis,NA
Sander canadensis,Sander canadensis,Actinopterygii,Perciformes,Percidae,Sander,canadensis,NA
Sander lucioperca,Sander lucioperca,Actinopterygii,Perciformes,Percidae,Sander,lucioperca,NA
Sander vitreus,Sander vitreus,Actinopterygii,Perciformes,Percidae,Sander,vitreus,NA
Sander Vitreus,Sander vitreus,Actinopterygii,Perciformes,Percidae,Sander,vitreus,NA
Sander volgensis,Sander volgensis,Actinopterygii,Perciformes,Percidae,Sander,volgensis,NA
Sarcocheilichthys czerskii,Sarcocheilichthys czerskii,Actinopterygii,Cypriniformes,Cyprinidae,Sarcocheilichthys,czerskii,NA
Sarcocheilichthys davidi,Sarcocheilichthys davidi,Actinopterygii,Cypriniformes,Cyprinidae,Sarcocheilichthys,davidi,NA
Sarcocheilichthys lacustris,Sarcocheilichthys lacustris,Actinopterygii,Cypriniformes,Cyprinidae,Sarcocheilichthys,lacustris,NA
Sarcocheilichthys nigripinnis,Sarcocheilichthys nigripinnis,Actinopterygii,Cypriniformes,Cyprinidae,Sarcocheilichthys,nigripinnis,NA
Sarcocheilichthys sinensis,Sarcocheilichthys sinensis,Actinopterygii,Cypriniformes,Cyprinidae,Sarcocheilichthys,sinensis,NA
Sarcocheilichthys variegatus,Sarcocheilichthys variegatus,Actinopterygii,Cypriniformes,Cyprinidae,Sarcocheilichthys,variegatus,NA
Sarda australis,Sarda australis,Actinopterygii,Perciformes,Scombridae,Sarda,australis,NA
Sarda chiliensis,Sarda chiliensis,Actinopterygii,Perciformes,Scombridae,Sarda,chiliensis,NA
Sarda orientalis,Sarda orientalis,Actinopterygii,Perciformes,Scombridae,Sarda,orientalis,NA
Sarda sarda,Sarda sarda,Actinopterygii,Perciformes,Scombridae,Sarda,sarda,NA
Sarda velox,Sarda orientalis,Actinopterygii,Perciformes,Scombridae,Sarda,orientalis,NA
Sardina pilchardus,Sardina pilchardus,Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,NA
Sardinella albella,Sardinella albella,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,albella,NA
Sardinella aurita,Sardinella aurita,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,aurita,NA
Sardinella longiceps,Sardinella longiceps,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,longiceps,NA
Sardinella marquesensis,Sardinella marquesensis,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,marquesensis,NA
Sardinella zunasi,Sardinella zunasi,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,zunasi,NA
Sardinops sagax,Sardinops sagax,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax,NA
Sargocentron ittodai,Sargocentron ittodai,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,ittodai,NA
Sargocentron marisrubri,Sargocentron marisrubri,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,marisrubri,NA
Sargocentron rubrum,Sargocentron rubrum,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,rubrum,NA
Sargocentron seychellense,Sargocentron seychellense,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,seychellense,NA
Sargocentron spiniferum,Sargocentron spiniferum,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,spiniferum,NA
Sargocentron spinosissimum,Sargocentron spinosissimum,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,spinosissimum,NA
Sargocentron vexillarium,Sargocentron vexillarium,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,vexillarium,NA
Sargocentron violaceum,Sargocentron violaceum,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,violaceum,NA
Sargochromis codringtonii,Sargochromis codringtonii,Actinopterygii,Perciformes,Cichlidae,Sargochromis,codringtonii,NA
Sargochromis coulteri,Sargochromis coulteri,Actinopterygii,Perciformes,Cichlidae,Sargochromis,coulteri,NA
Sargochromis thysi,Sargochromis thysi,Actinopterygii,Perciformes,Cichlidae,Sargochromis,thysi,NA
Sarotherodon galilaeus,Sarotherodon galilaeus,Actinopterygii,Perciformes,Cichlidae,Sarotherodon,galilaeus,NA
Sarotherodon melanotheron,Sarotherodon melanotheron,Actinopterygii,Perciformes,Cichlidae,Sarotherodon,melanotheron,NA
Sarotherodon occidentalis,Sarotherodon occidentalis,Actinopterygii,Perciformes,Cichlidae,Sarotherodon,occidentalis,NA
Sarpa salpa,Sarpa salpa,Actinopterygii,Perciformes,Sparidae,Sarpa,salpa,NA
Satan eurystomus,Satan eurystomus,Actinopterygii,Siluriformes,Ictaluridae,Satan,eurystomus,NA
Satyrichthys adeni,Satyrichthys adeni,Actinopterygii,Scorpaeniformes,Peristediidae,Satyrichthys,adeni,NA
Satyrichthys rieffeli,Satyrichthys rieffeli,Actinopterygii,Scorpaeniformes,Peristediidae,Satyrichthys,rieffeli,NA
Satyrichthys welchi,Satyrichthys welchi,Actinopterygii,Scorpaeniformes,Peristediidae,Satyrichthys,welchi,NA
Saurenchelys fierasfer,Saurenchelys fierasfer,Actinopterygii,Anguilliformes,Nettastomatidae,Saurenchelys,fierasfer,NA
Saurida argentea,Saurida argentea,Actinopterygii,Aulopiformes,Synodontidae,Saurida,argentea,NA
Saurida elongata,Saurida elongata,Actinopterygii,Aulopiformes,Synodontidae,Saurida,elongata,NA
Saurida filamentosa,Saurida filamentosa,Actinopterygii,Aulopiformes,Synodontidae,Saurida,filamentosa,NA
Saurida longimanus,Saurida longimanus,Actinopterygii,Aulopiformes,Synodontidae,Saurida,longimanus,NA
Saurogobio gymnocheilus,Saurogobio gymnocheilus,Actinopterygii,Cypriniformes,Cyprinidae,Saurogobio,gymnocheilus,NA
Saurogobio xiangjiangensis,Saurogobio xiangjiangensis,Actinopterygii,Cypriniformes,Cyprinidae,Saurogobio,xiangjiangensis,NA
Scalanago lateralis,Scalanago lateralis,Actinopterygii,Anguilliformes,Congridae,Scalanago,lateralis,NA
Scaphiodonichthys macracanthus,Scaphiodonichthys macracanthus,Actinopterygii,Cypriniformes,Cyprinidae,Scaphiodonichthys,macracanthus,NA
Scardinius erythropthalmus,Scardinius erythrophthalmus,Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,erythrophthalmus,NA
Scartella caboverdiana,Scartella caboverdiana,Actinopterygii,Perciformes,Blenniidae,Scartella,caboverdiana,NA
Scartichthys crapulatus,Scartichthys crapulatus,Actinopterygii,Perciformes,Blenniidae,Scartichthys,crapulatus,NA
Scartichthys gigas,Scartichthys gigas,Actinopterygii,Perciformes,Blenniidae,Scartichthys,gigas,NA
Scartichthys viridis,Scartichthys viridis,Actinopterygii,Perciformes,Blenniidae,Scartichthys,viridis,NA
Scarus dimidiatus,Scarus dimidiatus,Actinopterygii,Perciformes,Scaridae,Scarus,dimidiatus,NA
Scarus dubius,Scarus dubius,Actinopterygii,Perciformes,Scaridae,Scarus,dubius,NA
Scarus festivus,Scarus festivus,Actinopterygii,Perciformes,Scaridae,Scarus,festivus,NA
Scarus ghobban,Scarus ghobban,Actinopterygii,Perciformes,Scaridae,Scarus,ghobban,NA
Scarus globiceps,Scarus globiceps,Actinopterygii,Perciformes,Scaridae,Scarus,globiceps,NA
