orig_hname,new_hname,hclass,horder,hfamily,genus,spp,subspp
Agonus cataphractus,Agonus cataphractus,Actinopterygii,Scorpaeniformes,Agonidae,Agonus,cataphractus,NA
Aidablennius sphynx,Aidablennius sphynx,Actinopterygii,Perciformes,Blenniidae,Aidablennius,sphynx,NA
Albatrossia pectoralis,Albatrossia pectoralis,Actinopterygii,Gadiformes,Macrouridae,Albatrossia,pectoralis,NA
Albula nemoptera,Albula nemoptera,Actinopterygii,Albuliformes,Albulidae,Albula,nemoptera,NA
Alburnoides bipunctatus,Alburnoides bipunctatus,Actinopterygii,Cypriniformes,Cyprinidae,Alburnoides,bipunctatus,NA
Alburnoides oblongus,Alburnoides oblongus,Actinopterygii,Cypriniformes,Cyprinidae,Alburnoides,oblongus,NA
Alburnoides taeniatus,Alburnoides taeniatus,Actinopterygii,Cypriniformes,Cyprinidae,Alburnoides,taeniatus,NA
Alburnus albidus,Alburnus albidus,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,albidus,NA
Alburnus alburnus,Alburnus alburnus,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,alburnus,NA
Alburnus chalcoides,Alburnus chalcoides,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,chalcoides,NA
Alburnus mento,Alburnus mento,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,mento,NA
Alburnus mossulensis,Alburnus mossulensis,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,mossulensis,NA
Alcichthys elongatus,Alcichthys elongatus,Actinopterygii,Scorpaeniformes,Cottidae,Alcichthys,elongatus,NA
Alcolapia grahami,Alcolapia grahami,Actinopterygii,Perciformes,Cichlidae,Alcolapia,grahami,NA
Aldrichetta forsteri,Aldrichetta forsteri,Actinopterygii,Mugiliformes,Mugilidae,Aldrichetta,forsteri,NA
Alectis alexandrinus,Alectis alexandrina,Actinopterygii,Perciformes,Carangidae,Alectis,alexandrina,NA
Alectis ciliaris,Alectis ciliaris,Actinopterygii,Perciformes,Carangidae,Alectis,ciliaris,NA
Alectis indica,Alectis indica,Actinopterygii,Perciformes,Carangidae,Alectis,indica,NA
Alepes djedaba,Alepes djedaba,Actinopterygii,Perciformes,Carangidae,Alepes,djedaba,NA
Alepes kleinii,Alepes kleinii,Actinopterygii,Perciformes,Carangidae,Alepes,kleinii,NA
Alepes melanoptera,Alepes melanoptera,Actinopterygii,Perciformes,Carangidae,Alepes,melanoptera,NA
Alepisaurus brevirostris,Alepisaurus brevirostris,Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus,brevirostris,NA
Alepisaurus ferox,Alepisaurus ferox,Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus,ferox,NA
Alepocephalus agassizii,Alepocephalus agassizii,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus,agassizii,NA
Alepocephalus bairdii,Alepocephalus bairdii,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus,bairdii,NA
Alestes baremoze,Alestes baremoze,Actinopterygii,Characiformes,Alestidae,Alestes,baremoze,NA
Alestes dentex,Alestes dentex,Actinopterygii,Characiformes,Alestidae,Alestes,dentex,NA
Allenbatrachus grunniens,Allenbatrachus grunniens,Actinopterygii,Batrachoidiformes,Batrachoididae,Allenbatrachus,grunniens,NA
Allodontichthys hubbsi,Allodontichthys hubbsi,Actinopterygii,Cyprinodontiformes,Goodeidae,Allodontichthys,hubbsi,NA
Allodontichthys zonistius,Allodontichthys zonistius,Actinopterygii,Cyprinodontiformes,Goodeidae,Allodontichthys,zonistius,NA
Alloophorus robustus,Alloophorus robustus,Actinopterygii,Cyprinodontiformes,Goodeidae,Alloophorus,robustus,NA
Allothunnus fallai,Allothunnus fallai,Actinopterygii,Perciformes,Scombridae,Allothunnus,fallai,NA
Allotoca catarinae,Allotoca catarinae,Actinopterygii,Cyprinodontiformes,Goodeidae,Allotoca,catarinae,NA
Allotoca diazi,Allotoca diazi,Actinopterygii,Cyprinodontiformes,Goodeidae,Allotoca,diazi,NA
Allotoca dugesii,Allotoca dugesii,Actinopterygii,Cyprinodontiformes,Goodeidae,Allotoca,dugesii,NA
