old_pname	new_pname
Allopyragraphorus winteri	Allopyragraphorus winteri
Allosprostonia tauvinae	Allosprostonia tauvinae
Allostomachicola secundus	Allostomachicola secundus
Alphamphistoma canoeforma	Alphamphistoma canoeforma
Amapacanthus amazonicus	Amapacanthus amazonicus
Amazonadistoma negrensis	Amazonadistoma negrensis
Amazotaenia yvettae	Amazotaenia yvettae
Ameloblastella chavarriai	Ameloblastella chavarriai
Ameloblastella platensis	Ameloblastella platensis
Ameloblastella satoi	Ameloblastella satoi
Ameloblastella unapi	Ameloblastella unapi
Ametrodaptes mexicanus	Ametrodaptes mexicanus
Ametrodaptes secundus	Ametrodaptes secundus
Amphibdella cuticulovagina	Amphibdella cuticulovagina
Amphibdella paronaperugiae	Amphibdella paronaperugiae
Amphibdella torpedinis	Amphibdella torpedinis
Amphibdelloides cameroni	Amphibdelloides cameroni
Amphibdelloides longilamellatus	Amphibdelloides longilamellatus
Amphibdelloides maccallumi	Amphibdelloides maccallumi
Amphibdelloides pentadactylus	Amphibdelloides pentadactylus
Amphicaecum parvum	Amphicaecum parvum
Amphicotyle heteropleura	Amphicotyle heteropleura
Amphicotyle typica	Amphicotyle typica
Amphicreadium denspeniculus	Amphicreadium denspeniculus
Amphilina bipunctata	Amphilina bipunctata
Amphilina coreana	Amphilina coreana
Amphilina foliacea	Amphilina foliacea
Amphilina japonica	Amphilina japonica
Amphilina tengaria	Amphilina tengaria
Amphimerus elongatus	Amphimerus elongatus
Amphimerus pseudofelineus	Amphimerus pseudofelineus
Amphipolycotyle chloroscombrus	Amphipolycotyle chloroscombrus
Amphitecium camelum	Amphitecium camelum
Amphithecium brachycirrum	Amphithecium brachycirrum
Amphithecium calycinum	Amphithecium calycinum
Amphithecium camelum	Amphithecium camelum
Amphithecium catalaoensis	Amphithecium catalaoensis
Amphithecium diclonophallum	Amphithecium diclonophallum
Amphithecium falcatum	Amphithecium falcatum
Amphithecium junki	Amphithecium junki
Amphithecium microphallum	Amphithecium microphallum
Amphithecium minutum	Amphithecium minutum
Amphithecium muricatum	Amphithecium muricatum
Amphithecium piranhus	Amphithecium piranhus
Amphithecium pretiosum	Amphithecium pretiosum
Amphithecium prodotum	Amphithecium prodotum
Amphithecium speirocamarotum	Amphithecium speirocamarotum
Amphithecium unguiculum	Amphithecium unguiculum
Amphithecium verecundum	Amphithecium verecundum
Amphitretus settii	Amphitretus settii
Amphitretus wageneri	Amphitretus wageneri
Amphocleithrium paraguayensis	Amphocleithrium paraguayensis
Amphocleithrum paraguayensis	Amphocleithrium paraguayensis
Amphoteromorphus ninoi	Amphoteromorphus ninoi
Amphoteromorphus parkarmoo	Amphoteromorphus parkarmoo
Amphoteromorphus peniculus	Amphoteromorphus peniculus
Amphoteromorphus piraeeba	Amphoteromorphus piraeeba
Amphoteromorphus piriformis	Amphoteromorphus piriformis
Amphoteromorphus praeputialis	Amphoteromorphus praeputialis
Amplicaecum indica	Amplicaecum indica
Amplicaecum mugili	Amplicaecum mugili
Amplicaecum orissai	Amplicaecum orissai
Amplicaecum singhi	Amplicaecum singhi
Amplicaecum thapari	Amplicaecum thapari
Amurotaenia decidua	Amurotaenia decidua
Amurotrema dombrowskajae	Amurotrema dombrowskajae
Amurotrema spinibarbi	Amurotrema spinibarbi
Anacanthocheilus rotundatus	Anacanthocheilus rotundatus
Anacanthocotyle anacanthocotyle	Anacanthocotyle anacanthocotyle
Anacanthoroides mizellei	Anacanthoroides mizellei
Anacanthorus acuminatus	Anacanthorus acuminatus
Anacanthorus alatus	Anacanthorus alatus
Anacanthorus amazonicus	Anacanthorus amazonicus
Anacanthorus anacanthorus	Anacanthorus anacanthorus
Anacanthorus andersoni	Anacanthorus andersoni
Anacanthorus beleophallus	Anacanthorus beleophallus
Anacanthorus bellus	Anacanthorus bellus
Anacanthorus brazilensis	Anacanthorus brazilensis
Anacanthorus braziliensis	Anacanthorus braziliensis
Anacanthorus brevis	Anacanthorus brevis
Anacanthorus calophallus	Anacanthorus calophallus
Anacanthorus carinatus	Anacanthorus carinatus
Anacanthorus catoprioni	Anacanthorus catoprioni
Anacanthorus chaunophallus	Anacanthorus chaunophallus
Anacanthorus chelophorus	Anacanthorus chelophorus
Anacanthorus cinctus	Anacanthorus cinctus
Anacanthorus cladophallus	Anacanthorus cladophallus
Anacanthorus colombianus	Anacanthorus colombianus
Anacanthorus cornutus	Anacanthorus cornutus
Anacanthorus crytocaulus	Anacanthorus crytocaulus
Anacanthorus cuticulovaginus	Anacanthorus cuticulovaginus
Anacanthorus dipelecinus	Anacanthorus dipelecinus
Anacanthorus diplecinus	Anacanthorus diplecinus
Anacanthorus elegans	Anacanthorus elegans
Anacanthorus euryphallus	Anacanthorus euryphallus
Anacanthorus formosus	Anacanthorus formosus
Anacanthorus furculus	Anacanthorus furculus
Anacanthorus glyptophallus	Anacanthorus glyptophallus
Anacanthorus gravihamulatus	Anacanthorus gravihamulatus
Anacanthorus jegui	Anacanthorus jegui
Anacanthorus kruidenieri	Anacanthorus kruidenieri
Anacanthorus lasiophallus	Anacanthorus lasiophallus
Anacanthorus lepyrophallus	Anacanthorus lepyrophallus
Anacanthorus lygophallus	Anacanthorus lygophallus
Anacanthorus maltai	Anacanthorus maltai
Anacanthorus mastigophallus	Anacanthorus mastigophallus
Anacanthorus mesocondylus	Anacanthorus mesocondylus
Anacanthorus nanus	Anacanthorus nanus
