old_pname	new_pname
Paropecoelus parupenei	Paropecoelus parupenei
Paropecoelus sacculatus	Paropecoelus sacculatus
Parspina argentinensis	Parspina argentinensis
Parspina bagre	Parspina bagre
Parvipyrum acanthuri	Parvipyrum acanthuri
Parvitaenia aurita	Parvitaenia aurita
Parvitaenia cochlearii	Parvitaenia cochlearii
Parvitaenia macropeos	Parvitaenia macropeos
Parvitaenia samfyia	Parvitaenia samfyia
Patellobothrium quinquecatenatum	Patellobothrium quinquecatenatum
Patellokoellikeria seriolae	Patellokoellikeria seriolae
Pauciconfibula pogoniae	Pauciconfibula pogoniae
Pauciconfibula subsolana	Pauciconfibula subsolana
Paucivitellosus fragilis	Paucivitellosus fragilis
Paurorhynchus hiodontis	Paurorhynchus hiodontis
Paurorhynchus hiodontos	Paurorhynchus hiodontis
Paurorhynchus schubarti	Paurorhynchus schubarti
Pavanelliela pavanellii	Pavanelliela pavanellii
Pavanelliella pavanellii	Pavanelliella pavanellii
Pavanelliella scaphiocotylus	Pavanelliella scaphiocotylus
Pavlovskioides antarcticus	Pavlovskioides antarcticus
Pavlovskioides ichthyoscopi	Pavlovskioides ichthyoscopi
Pavlovskioides litoralis	Pavlovskioides litoralis
Pavlovskioides pearsoni	Pavlovskioides pearsoni
Pavlovskioides trematomi	Pavlovskioides trematomi
Pearsonellum corventum	Pearsonellum corventum
Pedibothrium brevispine	Pedibothrium brevispine
Pedibothrium globicephalum	Pedibothrium globicephalum
Pedibothrium kerkhami	Pedibothrium kerkhami
Pedibothrium lintoni	Pedibothrium lintoni
Pedibothrium longispine	Pedibothrium longispine
Pedibothrium maccallumi	Pedibothrium maccallumi
Pedibothrium pinguicollum	Pedibothrium pinguicollum
Pedibothrium servattorum	Pedibothrium servattorum
Pedibothrium toliarensis	Pedibothrium toliarensis
Pedibothrium veravalensis	Pedibothrium veravalensis
Pedibothrium zugei	Pedibothrium zugei
Pedocotyle annakohni	Pedocotyle annakohni
Pedocotyle bravoi	Pedocotyle bravoi
Pedocotyle minima	Pedocotyle minima
Pedocotyle morone	Pedocotyle morone
Pelaezia loossi	Pelaezia loossi
Pelichnibothrium speciosum	Pelichnibothrium speciosum
Pellamyzon abitionis	Pellamyzon abitionis
Pellonicola lanceolatum	Pellonicola lanceolatum
Pellucidhaptor alabamensis	Pellucidhaptor alabamensis
Pellucidhaptor alahamus	Pellucidhaptor alahamus
Pellucidhaptor angularis	Pellucidhaptor angularis
Pellucidhaptor anisurum	Pellucidhaptor anisurum
Pellucidhaptor catostomi	Pellucidhaptor catostomi
Pellucidhaptor dicerobasis	Pellucidhaptor dicerobasis
Pellucidhaptor eremitus	Pellucidhaptor eremitus
Pellucidhaptor eriensis	Pellucidhaptor eriensis
Pellucidhaptor fidus	Pellucidhaptor fidus
Pellucidhaptor merus	Pellucidhaptor merus
Pellucidhaptor micracanthus	Pellucidhaptor micracanthus
Pellucidhaptor minytrema	Pellucidhaptor minytrema
Pellucidhaptor minytremae	Pellucidhaptor minytremae
Pellucidhaptor moxostomi	Pellucidhaptor moxostomi
Pellucidhaptor nasalis	Pellucidhaptor nasalis
Pellucidhaptor orthacis	Pellucidhaptor orthacis
Pellucidhaptor pellucidhaptor	Pellucidhaptor pellucidhaptor
Pellucidhaptor planacrus	Pellucidhaptor planacrus
Pellucidhaptor pricei	Pellucidhaptor pricei
Pellucidhaptor pterigynus	Pellucidhaptor pterigynus
Pellucidhaptor ramulosus	Pellucidhaptor ramulosus
Pellucidhaptor rogersi	Pellucidhaptor rogersi
Pellucidhaptor smithvanizi	Pellucidhaptor smithvanizi
Pellucidhaptor tarsialis	Pellucidhaptor tarsialis
Pellucidhaptor thelostea	Pellucidhaptor thelostea
Pellucidhaptor variabilis	Pellucidhaptor variabilis
Pelorohelmins moniliovata	Pelorohelmins moniliovata
Pelorohelmins palawanensis	Elongoparorchis pneumatis
Peltidocotyle lenha	Peltidocotyle lenha
Peltidocotyle rugosa	Peltidocotyle rugosa
Penetrocephalus ganapatii	Penetrocephalus ganapatii
Pennulituba cymansis	Pennulituba cymansis
Pennulituba piratifalx	Pennulituba piratifalx
Pentagramma symmetricum	Pentagramma symmetricum
Pentaloculum macrocephalum	Pentaloculum macrocephalum
Peracreadium characis	Peracreadium characis
Peracreadium commune	Peracreadium commune
Peracreadium genu	Peracreadium genu
Peracreadium gibsoni	Peracreadium gibsoni
Peracreadium idoneum	Peracreadium idoneum
Peracreadium mycteropercae	Peracreadium mycteropercae
Perezitrema bychowskyi	Perezitrema bychowskyi
Perezitrema viguerasi	Perezitrema viguerasi
Peristedionelia longisetosa	Peristedionelia longisetosa
Peristedionelia mosambica	Peristedionelia mosambica
Peristedionelia satyrichthys	Peristedionelia satyrichthys
Petalocotyle adenometra	Petalocotyle adenometra
Petalocotyle diverticulata	Petalocotyle diverticulata
Petalocotyle nipponica	Petalocotyle nipponica
Petalodistomum pacificum	Staphylorchis pacificus
Petasiger variospinosus	Petasiger variospinosus
Phacelotrema claviforme	Phacelotrema claviforme
Phagicola angrense	Phagicola angrense
Phagicola diminuta	Phagicola diminuta
Phagicola nana	Phagicola nana
Phagicola sinoecum	Phagicola sinoecum
Phanerothecioides agostinhoi	Phanerothecioides agostinhoi
Phanerothecium caballeroi	Phanerothecium caballeroi
Phanerothecium harrisi	Phanerothecium harrisi
Phanerothecium spinatus	Phanerothecium spinatus
Phanerothecium spinicirrum	Phanerothecium spinicirrum
Phanerothecium spinulatum	Phanerothecium spinulatum
Philobythoides stunkardi	Philobythoides stunkardi
Philobythos atlanticus	Philobythos atlanticus
Philocorydoras margolisi	Philocorydoras margolisi
Philocorydoras platensis	Philocorydoras platensis
Philometra abdominalis	Philometra abdominalis
Philometra acipenseris	Philometra acipenseris
Philometra alii	Philometra alii
Philometra americana	Philometra americana
Philometra andhrai	Philometra andhrai
Philometra beninensis	Philometra beninensis
Philometra biglobacerca	Philometra biglobacerca
Philometra carassii	Philometra carassii
Philometra carolinensis	Philometra carolinensis
Philometra centropomi	Philometra centropomi
Philometra charlestonensis	Philometra charlestonensis
Philometra cheilopogoni	Philometra cheilopogoni
Philometra coreii	Philometra coreii
Philometra cylindracea	Philometra cylindracea
Philometra cynoscionis	Philometra cynoscionis
Philometra cyprini	Philometra cyprini
Philometra fariaslimai	Philometra fariaslimai
Philometra fujimotoi	Philometra fujimotoi
Philometra globiceps	Philometra globiceps
Philometra gobioboti	Philometra gobioboti
Philometra gymnothoracis	Philometra gymnothoracis
Philometra hyderabadensis	Philometra hyderabadensis
Philometra inimici	Philometra inimici
Philometra interoculus	Philometra interoculus
Philometra intestinalis	Philometra intestinalis
Philometra intraoculus	Philometra intraoculus
Philometra jordanoi	Philometra jordanoi
Philometra karunensis	Philometra karunensis
Philometra katsuwoni	Philometra katsuwoni
Philometra kobuleji	Philometra kobuleji
Philometra kohnae	Philometra kohnae
Philometra kotlani	Philometra kotlani
Philometra lateolabracis	Philometra lateolabracis
Philometra lomi	Philometra lomi
Philometra lusii	Philometra lusii
Philometra maccallumi	Philometra maccallumi
Philometra maplestonei	Philometra maplestonei
Philometra margolisi	Philometra margolisi
Philometra neptonemi	Philometra neptonemi
Philometra nodulosa	Philometra nodulosa
Philometra obturans	Philometra obturans
Philometra ophisterni	Philometra ophisterni
Philometra ovata	Philometra ovata
Philometra overstreeti	Philometra overstreeti
Philometra paraguayensis	Philometra paraguayensis
Philometra paralichthydis	Philometra paralichthydis
Philometra pellucida	Philometra pellucida
Philometra polynemi	Philometra polynemi
Philometra polynemii	Philometra polynemii
Philometra rajani	Philometra rajani
Philometra rischta	Philometra rischta
Philometra robusta	Philometra robusta
Philometra rubra	Philometra rubra
Philometra salgadoi	Philometra salgadoi
Philometra saltatrix	Philometra saltatrix
Philometra sanguinea	Philometra sanguinea
Philometra sciaenae	Philometra sciaenae
Philometra scomberomori	Philometra scomberomori
Philometra sebastisci	Philometra sebastisci
Philometra taurica	Philometra taurica
Philometroides africanus	Philometroides africanus
Philometroides anguillae	Philometroides anguillae
Philometroides belousae	Philometroides belousae
Philometroides caudata	Philometroides caudata
Philometroides cyprini	Philometroides cyprini
Philometroides denticulatus	Philometroides denticulatus
Philometroides fulvidraconi	Philometroides fulvidraconi
Philometroides ganzhounensis	Philometroides ganzhounensis
Philometroides huronensis	Philometroides huronensis
Philometroides hydrocyonae	Philometroides hydrocyonae
Philometroides lusiana	Philometroides lusiana
Philometroides maplestoni	Philometroides maplestoni
Philometroides marinus	Philometroides marinus
Philometroides masu	Philometroides masu
Philometroides nodulosa	Philometroides nodulosa
Philometroides parasiluri	Philometroides parasiluri
Philometroides sanguinea	Philometroides sanguinea
Philometroides seriolae	Philometroides seriolae
Philometroides wellborni	Philometroides wellborni
Philonema agubernaculum	Philonema agubernaculum
Philonema cylindracea	Philonema cylindracea
Philonema oncorhynchi	Philonema oncorhynchi
Philonema percichthydis	Philonema percichthydis
Philonema sibirica	Philonema sibirica
Philopinna higai	Philopinna higai
Philureter trigoniopsis	Philureter trigoniopsis
Phlyctainophora squali	Phlyctainophora squali
Phocanema antarctica	Phocanema antarctica
Phocascaris longispiculum	Phocascaris longispiculum
Pholeohedra overstreeti	Pholeohedra overstreeti
Phoreiobothrium blissorum	Phoreiobothrium blissorum
Phoreiobothrium exceptum	Phoreiobothrium exceptum
Phoreiobothrium lasium	Phoreiobothrium lasium
Phoreiobothrium lewinense	Phoreiobothrium lewinense
Phoreiobothrium manirei	Phoreiobothrium manirei
Phoreiobothrium pectinatum	Phoreiobothrium pectinatum
Phoreiobothrium perilocrocodilus	Phoreiobothrium perilocrocodilus
Phoreiobothrium robertsoni	Phoreiobothrium robertsoni
Phoreiobothrium shindei	Phoreiobothrium shindei
Phylline hendorffi	Phylline hendorffi
Phyllobothrium blochii	Phyllobothrium blochii
Phyllobothrium caudatum	Phyllobothrium caudatum
Phyllobothrium corti	Phyllobothrium corti
Phyllobothrium delphini	Phyllobothrium delphini
Phyllobothrium dohrnii	Phyllobothrium dohrnii
Phyllobothrium foliatum	Phyllobothrium foliatum
Phyllobothrium georgiense	Phyllobothrium georgiense
Phyllobothrium hallericola	Phyllobothrium hallericola
Phyllobothrium hyperapolytica	Phyllobothrium hyperapolytica
Phyllobothrium ketae	Phyllobothrium ketae
Phyllobothrium kingae	Anthocephalum kingae
Phyllobothrium lactuca	Phyllobothrium lactuca
Phyllobothrium loculatum	Phyllobothrium loculatum
Phyllobothrium loliginis	Phyllobothrium loliginis
Phyllobothrium myliobatidis	Phyllobothrium myliobatidis
Phyllobothrium pristis	Phyllobothrium pristis
Phyllobothrium ptychocephalum	Phyllobothrium ptychocephalum
Phyllobothrium pulbinatum	Phyllobothrium pulbinatum
Phyllobothrium pulvinatum	Phyllobothrium pulvinatum
Phyllobothrium radioductum	Phyllobothrium radioductum
Phyllobothrium rakusai	Phyllobothrium rakusai
Phyllobothrium riseri	Phyllobothrium riseri
Phyllobothrium salmonis	Phyllobothrium salmonis
Phyllobothrium serratum	Phyllobothrium serratum
Phyllobothrium siedleckii	Phyllobothrium siedleckii
Phyllobothrium speciosum	Phyllobothrium speciosum
Phyllobothrium squali	Phyllobothrium squali
Phyllobothrium thridax	Phyllobothrium thridax
Phyllobothrium triacis	Phyllobothrium triacis
Phyllobothrium triloculatum	Phyllobothrium triloculatum
Phyllobothrium tumidum	Phyllobothrium tumidum
Phyllodistomum anguillae	Phyllodistomum anguillae
Phyllodistomum angulatum	Phyllodistomum angulatum
Phyllodistomum bimaculatus	Phyllodistomum bimaculatus
Phyllodistomum brevicaecum	Phyllodistomum brevicaecum
Phyllodistomum carassii	Phyllodistomum carassii
Phyllodistomum carolini	Phyllodistomum carolini
Phyllodistomum catostomi	Phyllodistomum catostomi
Phyllodistomum caudatum	Phyllodistomum caudatum
Phyllodistomum chauhani	Phyllodistomum chauhani
Phyllodistomum clariasi	Phyllodistomum clariasi
Phyllodistomum congrenensis	Phyllodistomum congrenensis
Phyllodistomum coregoni	Phyllodistomum coregoni
Phyllodistomum cotti	Phyllodistomum cotti
Phyllodistomum cyprini	Phyllodistomum cyprini
Phyllodistomum dogieli	Phyllodistomum dogieli
Phyllodistomum elongatum	Phyllodistomum elongatum
Phyllodistomum etheostomae	Phyllodistomum etheostomae
Phyllodistomum fausti	Phyllodistomum fausti
Phyllodistomum funduli	Phyllodistomum funduli
Phyllodistomum ghanense	Phyllodistomum ghanense
Phyllodistomum kalriai	Phyllodistomum kalriai
Phyllodistomum limnosa	Phyllodistomum limnosa
Phyllodistomum linguale	Phyllodistomum linguale
Phyllodistomum loeweni	Phyllodistomum loeweni
Phyllodistomum lohrenzi	Phyllodistomum lohrenzi
Phyllodistomum lysteri	Phyllodistomum lysteri
Phyllodistomum macrobranchicola	Phyllodistomum macrobranchicola
Phyllodistomum macrocotyle	Phyllodistomum macrocotyle
Phyllodistomum magnificum	Phyllodistomum magnificum
Phyllodistomum marinae	Phyllodistomum marinae
Phyllodistomum megalorchis	Phyllodistomum megalorchis
Phyllodistomum mirandai	Phyllodistomum mirandai
Phyllodistomum mugilis	Phyllodistomum mugilis
Phyllodistomum notropidus	Phyllodistomum notropidus
Phyllodistomum parasiluri	Phyllodistomum parasiluri
Phyllodistomum parukhini	Phyllodistomum parukhini
Phyllodistomum pawlowskii	Phyllodistomum pawlowskii
Phyllodistomum pearsei	Phyllodistomum pearsei
Phyllodistomum pomacanthi	Phyllodistomum pomacanthi
Phyllodistomum psettodi	Phyllodistomum psettodi
Phyllodistomum pseudofolium	Phyllodistomum pseudofolium
Phyllodistomum pungitii	Phyllodistomum pungitii
Phyllodistomum rhamdiae	Phyllodistomum rhamdiae
Phyllodistomum ritai	Phyllodistomum ritai
Phyllodistomum ruschii	Phyllodistomum ruschii
Phyllodistomum sampaioi	Phyllodistomum sampaioi
Phyllodistomum satlegensis	Phyllodistomum satlegensis
Phyllodistomum semotili	Phyllodistomum semotili
Phyllodistomum serrispatula	Phyllodistomum serrispatula
Phyllodistomum simile	Phyllodistomum simile
Phyllodistomum sinense	Phyllodistomum sinense
Phyllodistomum sinipercae	Phyllodistomum sinipercae
Phyllodistomum spatula	Phyllodistomum spatula
Phyllodistomum spatulaeforme	Phyllodistomum spatulaeforme
Phyllodistomum sphaerogenitalis	Phyllodistomum sphaerogenitalis
Phyllodistomum superbum	Phyllodistomum superbum
Phyllodistomum symmetrorchis	Phyllodistomum symmetrorchis
Phyllodistomum umblae	Phyllodistomum umblae
Phyllodistomum umbrae	Phyllodistomum umblae
Phyllodistomum undulans	Phyllodistomum undulans
Phyllodistomum vanderwaali	Phyllodistomum vanderwaali
Phyllodistomum yosufzai	Phyllodistomum yosufzai
Physocephalus sexalatus	Physocephalus sexalatus
Piavussunema schubarti	Piavussunema schubarti
Pilum pilum	Pilum pilum
Pinguicollum pinguicollum	Pinguicollum pinguicollum
Pinguitrema lobata	Pinguitrema lobata
Pingus aori	Pingus aori
Pingus guptai	Pingus guptai
Pingus sinensis	Pingus sinensis
Pintneriella gymnorhynchoides	Pintneriella gymnorhynchoides
Pintneriella maccallumi	Pintneriella maccallumi
Piriforma macrorhamphosi	Piriforma macrorhamphosi
Pirupalkia queulensis	Pirupalkia queulensis
Pisciamphistoma reynoldsi	Pisciamphistoma reynoldsi
Pisciamphistoma stunkardi	Pisciamphistoma stunkardi
Piscicapillaria baylisi	Piscicapillaria baylisi
Piscicapillaria freemani	Piscicapillaria freemani
Piscicapillaria tuberculata	Piscicapillaria tuberculata
Pistana eurypharyngis	Pistana eurypharyngis
Pithanothecium amazonensis	Pithanothecium amazonensis
Pithanothecium piranhus	Pithanothecium piranhus
Pithophorus trygoni	Pithophorus trygoni
Plagiocirrus loboides	Plagiocirrus loboides
Plagiocirrus primus	Plagiocirrus primus
Plagiopeltis duplicata	Plagiopeltis duplicata
Plagioporus alacer	Plagioporus alacer
Plagioporus allovaris	Plagioporus allovaris
Plagioporus angusticolle	Plagioporus angusticolle
Plagioporus antarcticus	Plagioporus antarcticus
Plagioporus apogonichthydis	Plagioporus apogonichthydis
Plagioporus branchiostegi	Plagioporus branchiostegi
Plagioporus cooperi	Plagioporus cooperi
Plagioporus craiagula	Plagioporus craiagula
Plagioporus crassigula	Macvicaria crassigula
Plagioporus crassigulus	Plagioporus crassigulus
Plagioporus cynoglossi	Macvicaria cynoglossi
Plagioporus dactylopagri	Plagioporus dactylopagri
Plagioporus dogieli	Plagioporus dogieli
Plagioporus dorosomatis	Plagioporus dorosomatis
Plagioporus eleuthoronemae	Plagioporus eleuthoronemae
Plagioporus epinepheli	Plagioporus epinepheli
Plagioporus gastrocotylus	Pachycreadium gastrocotylum
Plagioporus gerridis	Macvicaria gerridis
Plagioporus gonii	Plagioporus gonii
Plagioporus heterorchis	Plagioporus heterorchis
Plagioporus hunghuaensis	Plagioporus hunghuaensis
Plagioporus hypentelii	Plagioporus hypentelii
Plagioporus idoneus	Plagioporus idoneus
Plagioporus iguassuensis	Plagioporus iguassuensis
Plagioporus imanensis	Plagioporus imanensis
Plagioporus ira	Plagioporus ira
Plagioporus isagi	Plagioporus isagi
Plagioporus isaitschikowi	Plagioporus isaitschikowi
Plagioporus issaitschikowi	Plagioporus issaitschikowi
Plagioporus jagannathi	Plagioporus jagannathi
Plagioporus katadara	Plagioporus katadara
Plagioporus kolipinskii	Plagioporus kolipinskii
Plagioporus leiognathi	Plagioporus leiognathi
Plagioporus lepomis	Plagioporus lepomis
Plagioporus longicaudus	Plagioporus longicaudus
Plagioporus longisaccus	Macvicaria longisaccus
Plagioporus macrouterinus	Plagioporus macrouterinus
Plagioporus madrasensis	Plagioporus madrasensis
Plagioporus microlepisi	Plagioporus microlepisi
Plagioporus mujibi	Plagioporus mujibi
Plagioporus myoxocephalus	Plagioporus myoxocephalus
Plagioporus oligolecithosus	Plagioporus oligolecithosus
Plagioporus pachysomus	Plagioporus pachysomus
Plagioporus parathalasommatis	Plagioporus parathalasommatis
Plagioporus parvus	Plagioporus parvus
Plagioporus pennelli	Plagioporus pennelli
Plagioporus polymixiae	Plagioporus polymixiae
Plagioporus pomacanthi	Plagioporus pomacanthi
Plagioporus preporatus	Plagioporus preporatus
Plagioporus rhabdosargi	Plagioporus rhabdosargi
Plagioporus rooseveltiae	Neolebouria rooseveltiae
Plagioporus schizothoraci	Plagioporus schizothoraci
Plagioporus serotinus	Plagioporus serotinus
Plagioporus serratus	Plagioporus serratus
Plagioporus seychellensis	Plagioporus seychellensis
Plagioporus shawi	Plagioporus shawi
Plagioporus siliculus	Plagioporus siliculus
Plagioporus sinicus	Plagioporus sinicus
Plagioporus sinitsini	Plagioporus sinitsini
Plagioporus skrjabini	Plagioporus skrjabini
Plagioporus spari	Plagioporus spari
Plagioporus stefanski	Plagioporus stefanski
Plagioporus tennesseensis	Plagioporus tennesseensis
Plagioporus trachuri	Plagioporus trachuri
Plagioporus varicorhini	Plagioporus varicorhini
Plagioporus varius	Plagioporus varius
Plagioporus zacconis	Plagioporus zacconis
Plagiorchis corti	Plagiorchis corti
Plagiorchis geminus	Plagiorchis geminus
Plagiorchis longiformis	Plagiorchis longiformis
Plagiorchis muris	Plagiorchis muris
Plagiorchis sinipercae	Plagiorchis sinipercae
Platocystis vivipara	Platocystis vivipara
Platocystis viviparoides	Platocystis viviparoides
Platybothrium auriculatum	Platybothrium auriculatum
Platybothrium cervinum	Platybothrium cervinum
Platybothrium coshtaprum	Platybothrium coshtaprum
Platybothrium harpago	Platybothrium harpago
Platybothrium hypoprioni	Platybothrium hypoprioni
Platybothrium jondoeorum	Platybothrium jondoeorum
Platybothrium kirstenae	Platybothrium kirstenae
Platybothrium parvum	Platybothrium parvum
Platybothrium spinulifera	Platybothrium spinulifera
Platybothrium xiamenensis	Platybothrium xiamenensis
Platycladorchis macroacetabularis	Platycladorchis macroacetabularis
Platycladorchis microacetabularis	Platycladorchis microacetabularis
Plectanocotyle gurnardi	Plectanocotyle gurnardi
Plectanocotyloides obscurum	Plectanocotyloides obscurum
Plectognathotrema hydrolagi	Plectognathotrema hydrolagi
Plectognathotrema lobatum	Plectognathotrema lobatum
Plectognathotrema ovata	Plectognathotrema ovata
Plehniella coelomica	Plehniella coelomica
Pleorchis americanus	Pleorchis americanus
Pleorchis arabicus	Pleorchis arabicus
Pleorchis californiensis	Pleorchis californiensis
Pleorchis ghanensis	Pleorchis ghanensis
Pleorchis hainanensis	Pleorchis hainanensis
Pleorchis magniporus	Pleorchis magniporus
Pleorchis nibeae	Pleorchis nibeae
Pleorchis polyorchis	Pleorchis polyorchis
Pleorchis sciaenae	Pleorchis sciaenae
Pleorchis uku	Pleorchis uku
Plerurus alectis	Plerurus digitatus
Plerurus ashiae	Plerurus ashiae
Plerurus asterocongeri	Plerurus asterocongeri
Plerurus carangis	Plerurus carangis
Plerurus cheni	Plerurus cheni
Plerurus collichthydis	Plerurus collichthydis
Plerurus cynoglossi	Plerurus cynoglossi
Plerurus pseudosciaenae	Plerurus pseudosciaenae
Plerurus scomberomori	Plerurus scomberomori
Plerurus sphyraenae	Plerurus sphyraenae
Plesiorhynchus etmopteri	Plesiorhynchus etmopteri
Pleurocotyle scombri	Pleurocotyle scombri
Pleurogenes attui	Pleurogenes attui
Pleurogenes pabdai	Pleurogenes pabdai
Pleurogenoides notopteri	Pleurogenoides notopteri
Pleurogonius pomacanthi	Pyelosomum pomacanthi
Plicatobothrium cypseluri	Plicatobothrium cypseluri
Pliovitellaria wisconsinensis	Pliovitellaria wisconsinensis
Podocotyle alexandrina	Podocotyle alexandrina
Podocotyle angulata	Podocotyle angulata
Podocotyle araii	Podocotyle araii
Podocotyle atomon	Podocotyle atomon
Podocotyle breviformis	Podocotyle breviformis
Podocotyle caithnessi	Podocotyle caithnessi
Podocotyle chloroscombri	Podocotyle chloroscombri
Podocotyle enophrysi	Podocotyle enophrysi
Podocotyle etheostomae	Podocotyle etheostomae
Podocotyle fractum	Podocotyle fractum
Podocotyle furcata	Podocotyle furcata
Podocotyle gibbonsia	Podocotyle gibbonsia
Podocotyle israelensis	Allopodocotyle israelensis
Podocotyle jaffensis	Allopodocotyle jaffensis
Podocotyle lanceolata	Podocotyle lanceolata
Podocotyle lethrini	Podocotyle lethrini
Podocotyle longiforme	Podocotyle longiforme
Podocotyle lutiani	Podocotyle lutiani
Podocotyle morone	Pedocotyle morone
Podocotyle musculometra	Podocotyle musculometra
Podocotyle mycteropercae	Podocotyle mycteropercae
Podocotyle nibeae	Podocotyle nibeae
Podocotyle olssoni	Podocotyle olssoni
Podocotyle oscitans	Podocotyle oscitans
Podocotyle pearsei	Podocotyle pearsei
Podocotyle radifistuli	Podocotyle radifistuli
Podocotyle reflexa	Podocotyle reflexa
Podocotyle schistotesticulata	Podocotyle schistotesticulata
Podocotyle scorpaenae	Podocotyle scorpaenae
Podocotyle shawi	Plagioporus shawi
Podocotyle sinusacca	Podocotyle sinusacca
Podocotyle sinussaca	Podocotyle sinussaca
Podocotyle staffordi	Podocotyle staffordi
Podocotyle temensis	Podocotyle temensis
Podocotyle theragrae	Podocotyle theragrae
Podocotyle umbrinae	Pycnadenoides umbrinae
Podocotyloides chloroscombri	Podocotyloides chloroscombri
Podocotyloides sindensis	Podocotyloides sindensis
Podocotyloides stenometra	Podocotyloides stenometra
Podocotyloides trichiuri	Podocotyloides trichiuri
Poecilancistrum caryophyllum	Poecilancistrum caryophyllum
Poecilancistrum ilisha	Poecilancistrum ilisha
Poecilancistrum robustum	Poecilancistrum robustum
Polyacanthorhynchus kenyensis	Polyacanthorhynchus kenyensis
Polyacanthorhynchus rhopalorhynchus	Polyacanthorhynchus rhopalorhynchus
Polycliphora nezumiae	Polycliphora nezumiae
Polyclithrum boegeri	Polyclithrum boegeri
Polyclithrum mugilini	Polyclithrum mugilini
Polycryptocylix leonilae	Polycryptocylix leonilae
Polyipnicola hygophi	Polyipnicola hygophi
Polyipnicola lampichthyi	Polyipnicola lampichthyi
Polyipnicola lata	Polyipnicola lata
Polyipnicola sprostonae	Polyipnicola sprostonae
Polylabris acanthogobii	Polylabris acanthogobii
Polylabris acanthopagri	Polylabris acanthopagri
Polylabris angifer	Polylabris angifer
Polylabris australiensis	Polylabris australiensis
Polylabris carnarvoensis	Polylabris carnarvoensis
Polylabris carnarvonensis	Polylabris carnarvonensis
Polylabris diplodi	Polylabris diplodi
Polylabris gerres	Polylabris gerres
Polylabris girellae	Polylabris girellae
Polylabris heterodus	Polylabris heterodus
Polylabris indica	Polylabris indica
Polylabris japonicus	Polylabris japonicus
Polylabris mamaevi	Polylabris mamaevi
Polylabris maomao	Polylabris maomao
Polylabris queenslandensis	Polylabris queenslandensis
Polylabris rhabdosargi	Polylabris rhabdosargi
Polylabris sillaginae	Polylabris sillaginae
Polylabris tubicirrus	Polylabris tubicirrus
Polylabris williamsi	Polylabris williamsi
Polylabroides australis	Polylabroides australis
Polylabroides guangdongensis	Polylabroides guangdongensis
Polylabroides longispinosus	Polylabroides longispinosus
Polylabroides multispinosus	Polylabroides multispinosus
Polylabroides zini	Polylabroides zini
Polylekithum halli	Polylekithum halli
Polylekithum ictaluri	Polylekithum ictaluri
Polylekithum percai	Polylekithum percai
Polylekithum trachuri	Polylekithum trachuri
Polylophus jenseni	Polylophus jenseni
Polymicrocotyle manteri	Polymicrocotyle manteri
Polymorphus brevis	Polymorphus brevis
Polymorphus bullocki	Polymorphus bullocki
Polymorphus minutus	Polymorphus minutus
Polymorphus mutabilis	Polymorphus mutabilis
Polymorphus spindlatus	Polymorphus spindlatus
Polynemicola ambigua	Polynemicola ambigua
Polynemicola brachypetala	Polynemicola brachypetala
Polynemicola bulbovaginata	Polynemicola bulbovaginata
Polynemicola californica	Polynemicola californica
Polynemicola sciaenae	Polynemicola sciaenae
Polyonchobothrium clarias	Polyonchobothrium clarias
Polyonchobothrium cylindraceum	Polyonchobothrium cylindraceum
Polyonchobothrium fazabadensis	Polyonchobothrium fazabadensis
Polyonchobothrium fulgidum	Polyonchobothrium fulgidum
Polyonchobothrium gordoni	Polyonchobothrium gordoni
Polyonchobothrium humidii	Polyonchobothrium humidii
Polyonchobothrium indicum	Polyonchobothrium indicum
Polyonchobothrium interruptus	Polyonchobothrium interruptus
Polyonchobothrium magnum	Polyonchobothrium magnum
Polyonchobothrium polypteri	Polyonchobothrium polypteri
Polyonchobothrium scleropagis	Polyonchobothrium scleropagis
Polypocephalus trygoni	Polypocephalus trygoni
Pomphorhynchus bosniacus	Pomphorhynchus bosniacus
Pomphorhynchus bulbocolli	Pomphorhynchus bulbocolli
Pomphorhynchus fotedari	Pomphorhynchus fotedari
Pomphorhynchus heronensis	Pomphorhynchus heronensis
Pomphorhynchus kashmirensis	Pomphorhynchus kashmirensis
Pomphorhynchus kawi	Pomphorhynchus kawi
Pomphorhynchus kostylewi	Pomphorhynchus kostylewi
Pomphorhynchus laevis	Pomphorhynchus laevis
Pomphorhynchus lucyae	Pomphorhynchus lucyae
Pomphorhynchus lucyi	Pomphorhynchus lucyi
Pomphorhynchus manasbalensis	Pomphorhynchus manasbalensis
Pomphorhynchus megacanthus	Pomphorhynchus megacanthus
Pomphorhynchus oreini	Pomphorhynchus oreini
Pomphorhynchus orientalis	Pomphorhynchus orientalis
Pomphorhynchus patagonicus	Pomphorhynchus patagonicus
Pomphorhynchus perforator	Pomphorhynchus perforator
Pomphorhynchus rocci	Pomphorhynchus rocci
Pomphorhynchus sphaericus	Pomphorhynchus sphaericus
Pomphorhynchus spindletruncatus	Pomphorhynchus spindletruncatus
Pomphorhynchus tereticollis	Pomphorhynchus tereticollis
Pomphorhynchus tori	Pomphorhynchus tori
Pomphorhynchus yamagutii	Pomphorhynchus yamagutii
Pomphorhynchus yunnanensis	Pomphorhynchus yunnanensis
Poracanthium furcatum	Poracanthium furcatum
Poracanthium ghanensis	Poracanthium ghanensis
